iter	Passed	Remaining
0	172	51657
1	187	27960
2	203	20125
3	220	16281
4	238	14069
5	254	12457
6	270	11303
7	285	10419
8	299	9696
9	315	9149
10	331	8719
11	348	8353
12	361	7989
13	376	7686
14	390	7421
15	405	7200
16	420	7007
17	435	6829
18	450	6661
19	463	6490
20	478	6352
21	493	6231
22	509	6140
23	527	6067
24	543	5977
25	558	5880
26	571	5782
27	586	5693
28	600	5608
29	614	5526
30	628	5453
31	641	5375
32	655	5304
33	669	5240
34	684	5180
35	698	5121
36	712	5064
37	726	5011
38	740	4953
39	753	4900
40	767	4847
41	781	4799
42	794	4747
43	808	4704
44	821	4655
45	835	4614
46	848	4567
47	862	4528
48	875	4484
49	889	4446
50	902	4408
51	916	4369
52	930	4334
53	944	4304
54	958	4269
55	972	4236
56	986	4204
57	999	4170
58	1014	4144
59	1028	4113
60	1041	4080
61	1056	4054
62	1070	4028
63	1084	4000
64	1097	3968
65	1111	3940
66	1125	3912
67	1139	3886
68	1152	3857
69	1165	3829
70	1179	3802
71	1191	3773
72	1205	3748
73	1219	3723
74	1232	3697
75	1246	3673
76	1259	3646
77	1272	3620
78	1285	3595
79	1299	3572
80	1311	3546
81	1323	3519
82	1336	3493
83	1349	3470
84	1362	3447
85	1376	3424
86	1388	3400
87	1401	3377
88	1414	3352
89	1426	3328
90	1439	3305
91	1452	3284
92	1466	3263
93	1478	3240
94	1492	3220
95	1505	3198
96	1519	3179
97	1534	3163
98	1548	3143
99	1561	3122
100	1573	3099
101	1589	3085
102	1603	3066
103	1618	3050
104	1632	3031
105	1646	3013
106	1659	2994
107	1671	2971
108	1684	2951
109	1697	2932
110	1709	2911
111	1723	2893
112	1734	2870
113	1746	2849
114	1759	2829
115	1770	2808
116	1783	2789
117	1796	2770
118	1809	2752
119	1823	2735
120	1840	2723
121	1852	2703
122	1865	2684
123	1877	2664
124	1890	2646
125	1902	2627
126	1914	2608
127	1928	2590
128	1941	2573
129	1955	2556
130	1966	2537
131	1978	2518
132	1989	2497
133	2004	2482
134	2015	2463
135	2030	2448
136	2042	2429
137	2053	2411
138	2066	2393
139	2081	2378
140	2093	2360
141	2105	2342
142	2120	2327
143	2134	2311
144	2146	2294
145	2158	2277
146	2171	2259
147	2182	2241
148	2195	2224
149	2208	2208
150	2221	2192
151	2233	2174
152	2244	2156
153	2257	2139
154	2272	2125
155	2285	2109
156	2299	2094
157	2311	2077
158	2325	2062
159	2342	2049
160	2356	2034
161	2368	2017
162	2380	2000
163	2392	1984
164	2405	1967
165	2419	1952
166	2431	1936
167	2443	1919
168	2455	1903
169	2469	1888
170	2481	1872
171	2494	1856
172	2510	1843
173	2525	1828
174	2540	1814
175	2553	1798
176	2568	1784
177	2582	1769
178	2594	1753
179	2605	1737
180	2618	1721
181	2631	1706
182	2643	1690
183	2656	1674
184	2670	1660
185	2682	1644
186	2695	1628
187	2708	1613
188	2721	1598
189	2733	1582
190	2749	1569
191	2763	1554
192	2777	1539
193	2790	1524
194	2804	1510
195	2817	1494
196	2831	1480
197	2846	1466
198	2859	1451
199	2872	1436
200	2888	1422
201	2900	1406
202	2912	1391
203	2922	1375
204	2938	1361
205	2949	1346
206	2963	1331
207	2975	1315
208	2985	1300
209	2999	1285
210	3014	1271
211	3028	1257
212	3043	1242
213	3056	1228
214	3069	1213
215	3082	1198
216	3097	1184
217	3112	1170
218	3128	1157
219	3142	1142
220	3154	1127
221	3169	1113
222	3182	1099
223	3194	1083
224	3207	1069
225	3223	1055
226	3236	1040
227	3248	1025
228	3261	1011
229	3274	996
230	3287	982
231	3301	967
232	3313	952
233	3326	938
234	3338	923
235	3353	909
236	3368	895
237	3384	881
238	3397	867
239	3411	852
240	3423	838
241	3436	823
242	3449	809
243	3466	795
244	3481	781
245	3497	767
246	3514	754
247	3530	740
248	3544	726
249	3558	711
250	3572	697
251	3586	683
252	3597	668
253	3609	653
254	3622	639
255	3635	624
256	3650	610
257	3665	596
258	3678	582
259	3693	568
260	3704	553
261	3716	539
262	3731	524
263	3745	510
264	3757	496
265	3769	481
266	3781	467
267	3798	453
268	3812	439
269	3824	424
270	3837	410
271	3852	396
272	3865	382
273	3878	368
274	3894	354
275	3907	339
276	3922	325
277	3937	311
278	3949	297
279	3962	283
280	3973	268
281	3986	254
282	4000	240
283	4011	226
284	4027	211
285	4039	197
286	4051	183
287	4062	169
288	4078	155
289	4089	141
290	4102	126
291	4117	112
292	4129	98
293	4140	84
294	4154	70
295	4168	56
296	4180	42
297	4192	28
298	4205	14
299	4219	0
