Feature,Importance,Rank,Importance_Pct
sales_per_transaction,30001168.95034485,1,56.53
sales_roll_mean_28,7147948.675874412,2,13.47
transactions,4784900.194942089,3,9.02
sales_ewma_28,4233394.813250368,4,7.98
sales_roll_mean_14,1763556.483694153,5,3.32
trans_roll_mean_28,1074039.5286636762,6,2.02
sales_roll_median_14,958701.0078968257,7,1.81
sales_roll_mean_60,751996.152308479,8,1.42
trans_roll_mean_7,595673.0589109398,9,1.12
sales_expanding_mean,300380.18031165935,10,0.57
cos_dow,246251.6866752766,11,0.46
sin_dow,149766.3192108944,12,0.28
sales_roll_mean_7,138368.131948011,13,0.26
sales_lag_7,132963.8412673883,14,0.25
sales_lag_28,108389.68981530331,15,0.2
sales_lag_14,87861.31185859069,16,0.17
sales_ewma_14,64106.13404298574,17,0.12
oil_roll_mean_7,54040.483353070915,18,0.1
oil_diff_1d,51809.33733814396,19,0.1
oil_roll_mean_30,41214.43810013309,20,0.08
cluster_freq,40267.72361787036,21,0.08
cos_month,39819.15337185934,22,0.08
sales_lag_1,36733.66834219545,23,0.07
oil_sales_interaction,36129.79126338661,24,0.07
state_freq,35648.07969599217,25,0.07
dcoilwtico,34329.71685667336,26,0.06
store_promo_ratio,24528.027376795188,27,0.05
sales_lag_21,22821.57848047279,28,0.04
oil_pct_change_7d,19496.501893624663,29,0.04
type_freq,14204.359455317259,30,0.03
sales_roll_min_7,9599.522910019383,31,0.02
city_freq,8857.125658497214,32,0.02
class,8820.933383319527,33,0.02
sales_expanding_std,7187.900907214731,34,0.01
sales_roll_std_28,6577.341248575598,35,0.01
sales_to_roll28_ratio,6316.496496204287,36,0.01
class_freq,5522.912804707885,37,0.01
sin_month,5205.072495620698,38,0.01
sales_ewma_7,5197.122394051403,39,0.01
sales_to_roll7_ratio,3495.9894531648606,40,0.01
sales_roll_max_7,3392.7467264160514,41,0.01
sales_lag_3,3027.5020993724465,42,0.01
family_freq,2881.914374820888,43,0.01
sales_lag_2,2691.7497168555856,44,0.01
family_promo_ratio,2227.6536590754986,45,0.0
sales_roll_std_7,1942.935641285032,46,0.0
promo_sales_interaction,1825.6944065876305,47,0.0
