date,store_nbr,item_nbr,family,onpromotion,unit_sales,current_stock,unit_cost
2017-08-01,1,SKU-221958,GROCERY I,1,316.0,1977,9.48
2017-08-02,1,SKU-221958,GROCERY I,0,230.9,1085,9.48
2017-08-03,1,SKU-221958,GROCERY I,0,235.3,195,9.48
2017-08-04,1,SKU-221958,GROCERY I,1,326.7,13,9.48
2017-08-05,1,SKU-221958,GROCERY I,1,400.0,3429,9.48
2017-08-06,1,SKU-221958,GROCERY I,0,278.9,2053,9.48
2017-08-07,1,SKU-221958,GROCERY I,0,221.3,3017,9.48
2017-08-08,1,SKU-221958,GROCERY I,0,222.4,1929,9.48
2017-08-09,1,SKU-221958,GROCERY I,0,243.1,1593,9.48
2017-08-10,1,SKU-221958,GROCERY I,1,318.6,2014,9.48
2017-08-11,1,SKU-221958,GROCERY I,0,242.1,1913,9.48
2017-08-12,1,SKU-221958,GROCERY I,0,278.7,908,9.48
2017-08-13,1,SKU-221958,GROCERY I,0,298.2,2550,9.48
2017-08-14,1,SKU-221958,GROCERY I,1,302.8,1663,9.48
2017-08-15,1,SKU-221958,GROCERY I,0,237.8,1421,9.48
2017-08-16,1,SKU-221958,GROCERY I,0,233.4,112,9.48
2017-08-01,1,SKU-302283,GROCERY I,0,280.6,356,40.42
2017-08-02,1,SKU-302283,GROCERY I,0,257.0,1177,40.42
2017-08-03,1,SKU-302283,GROCERY I,0,263.0,3053,40.42
2017-08-04,1,SKU-302283,GROCERY I,0,263.3,2005,40.42
2017-08-05,1,SKU-302283,GROCERY I,0,350.3,374,40.42
2017-08-06,1,SKU-302283,GROCERY I,1,471.5,1319,40.42
2017-08-07,1,SKU-302283,GROCERY I,0,277.7,2751,40.42
2017-08-08,1,SKU-302283,GROCERY I,1,373.3,396,40.42
2017-08-09,1,SKU-302283,GROCERY I,0,258.9,3129,40.42
2017-08-10,1,SKU-302283,GROCERY I,0,264.6,244,40.42
2017-08-11,1,SKU-302283,GROCERY I,0,264.5,2704,40.42
2017-08-12,1,SKU-302283,GROCERY I,0,353.2,2340,40.42
2017-08-13,1,SKU-302283,GROCERY I,0,347.3,3701,40.42
2017-08-14,1,SKU-302283,GROCERY I,0,276.5,1916,40.42
2017-08-15,1,SKU-302283,GROCERY I,0,267.2,104,40.42
2017-08-16,1,SKU-302283,GROCERY I,0,256.6,2289,40.42
2017-08-01,1,SKU-731347,GROCERY I,0,172.7,1309,31.75
2017-08-02,1,SKU-731347,GROCERY I,0,178.5,1500,31.75
2017-08-03,1,SKU-731347,GROCERY I,0,177.4,1554,31.75
2017-08-04,1,SKU-731347,GROCERY I,0,164.2,1054,31.75
2017-08-05,1,SKU-731347,GROCERY I,0,214.1,2648,31.75
2017-08-06,1,SKU-731347,GROCERY I,0,207.7,1042,31.75
2017-08-07,1,SKU-731347,GROCERY I,1,225.5,2048,31.75
2017-08-08,1,SKU-731347,GROCERY I,0,168.4,725,31.75
2017-08-09,1,SKU-731347,GROCERY I,0,171.5,1169,31.75
2017-08-10,1,SKU-731347,GROCERY I,0,167.0,578,31.75
2017-08-11,1,SKU-731347,GROCERY I,0,166.1,1302,31.75
2017-08-12,1,SKU-731347,GROCERY I,0,206.5,741,31.75
2017-08-13,1,SKU-731347,GROCERY I,0,220.1,2197,31.75
2017-08-14,1,SKU-731347,GROCERY I,0,179.4,677,31.75
2017-08-15,1,SKU-731347,GROCERY I,1,228.7,115,31.75
2017-08-16,1,SKU-731347,GROCERY I,0,173.2,1653,31.75
2017-08-01,1,SKU-842452,GROCERY I,0,154.2,1646,44.38
2017-08-02,1,SKU-842452,GROCERY I,0,155.1,804,44.38
2017-08-03,1,SKU-842452,GROCERY I,0,153.6,1156,44.38
2017-08-04,1,SKU-842452,GROCERY I,0,156.7,710,44.38
2017-08-05,1,SKU-842452,GROCERY I,0,182.7,1515,44.38
2017-08-06,1,SKU-842452,GROCERY I,0,182.3,1311,44.38
2017-08-07,1,SKU-842452,GROCERY I,0,153.8,383,44.38
2017-08-08,1,SKU-842452,GROCERY I,0,149.9,1966,44.38
2017-08-09,1,SKU-842452,GROCERY I,0,149.2,245,44.38
2017-08-10,1,SKU-842452,GROCERY I,1,212.4,774,44.38
2017-08-11,1,SKU-842452,GROCERY I,0,156.4,1220,44.38
2017-08-12,1,SKU-842452,GROCERY I,0,186.6,252,44.38
2017-08-13,1,SKU-842452,GROCERY I,1,268.9,2387,44.38
2017-08-14,1,SKU-842452,GROCERY I,0,149.3,1520,44.38
2017-08-15,1,SKU-842452,GROCERY I,1,212.6,2323,44.38
2017-08-16,1,SKU-842452,GROCERY I,0,145.3,337,44.38
2017-08-01,1,SKU-601157,GROCERY I,0,207.3,2826,26.76
2017-08-02,1,SKU-601157,GROCERY I,0,194.7,1328,26.76
2017-08-03,1,SKU-601157,GROCERY I,0,208.3,521,26.76
2017-08-04,1,SKU-601157,GROCERY I,0,198.4,504,26.76
2017-08-05,1,SKU-601157,GROCERY I,0,256.9,2595,26.76
2017-08-06,1,SKU-601157,GROCERY I,0,251.8,1798,26.76
2017-08-07,1,SKU-601157,GROCERY I,0,193.6,1602,26.76
2017-08-08,1,SKU-601157,GROCERY I,1,267.7,3396,26.76
2017-08-09,1,SKU-601157,GROCERY I,0,195.5,1769,26.76
2017-08-10,1,SKU-601157,GROCERY I,0,205.8,670,26.76
2017-08-11,1,SKU-601157,GROCERY I,0,200.0,2154,26.76
2017-08-12,1,SKU-601157,GROCERY I,0,263.2,1736,26.76
2017-08-13,1,SKU-601157,GROCERY I,0,260.4,2728,26.76
2017-08-14,1,SKU-601157,GROCERY I,1,263.5,2043,26.76
2017-08-15,1,SKU-601157,GROCERY I,0,208.1,228,26.76
2017-08-16,1,SKU-601157,GROCERY I,0,192.4,730,26.76
2017-08-01,1,SKU-840674,CLEANING,1,93.6,751,25.72
2017-08-02,1,SKU-840674,CLEANING,0,68.8,953,25.72
2017-08-03,1,SKU-840674,CLEANING,0,68.2,838,25.72
2017-08-04,1,SKU-840674,CLEANING,1,93.6,923,25.72
2017-08-05,1,SKU-840674,CLEANING,0,84.2,955,25.72
2017-08-06,1,SKU-840674,CLEANING,1,120.3,1538,25.72
2017-08-07,1,SKU-840674,CLEANING,0,68.0,761,25.72
2017-08-08,1,SKU-840674,CLEANING,0,69.4,775,25.72
2017-08-09,1,SKU-840674,CLEANING,1,90.4,481,25.72
2017-08-10,1,SKU-840674,CLEANING,0,68.6,44,25.72
2017-08-11,1,SKU-840674,CLEANING,0,68.3,281,25.72
2017-08-12,1,SKU-840674,CLEANING,0,81.9,52,25.72
2017-08-13,1,SKU-840674,CLEANING,1,114.4,212,25.72
2017-08-14,1,SKU-840674,CLEANING,0,69.9,219,25.72
2017-08-15,1,SKU-840674,CLEANING,0,65.2,56,25.72
2017-08-16,1,SKU-840674,CLEANING,0,68.3,613,25.72
2017-08-01,1,SKU-173523,CLEANING,1,75.3,426,43.67
2017-08-02,1,SKU-173523,CLEANING,0,59.9,217,43.67
2017-08-03,1,SKU-173523,CLEANING,0,56.0,341,43.67
2017-08-04,1,SKU-173523,CLEANING,0,55.8,715,43.67
2017-08-05,1,SKU-173523,CLEANING,0,71.9,103,43.67
2017-08-06,1,SKU-173523,CLEANING,0,77.0,691,43.67
2017-08-07,1,SKU-173523,CLEANING,0,59.3,367,43.67
2017-08-08,1,SKU-173523,CLEANING,1,75.3,601,43.67
2017-08-09,1,SKU-173523,CLEANING,0,56.2,275,43.67
2017-08-10,1,SKU-173523,CLEANING,0,56.1,251,43.67
2017-08-11,1,SKU-173523,CLEANING,1,76.3,28,43.67
2017-08-12,1,SKU-173523,CLEANING,1,102.7,504,43.67
2017-08-13,1,SKU-173523,CLEANING,0,74.9,59,43.67
2017-08-14,1,SKU-173523,CLEANING,1,81.9,306,43.67
2017-08-15,1,SKU-173523,CLEANING,0,61.0,432,43.67
2017-08-16,1,SKU-173523,CLEANING,0,59.5,516,43.67
2017-08-01,1,SKU-288751,CLEANING,0,200.0,1615,2.65
2017-08-02,1,SKU-288751,CLEANING,0,194.3,1251,2.65
2017-08-03,1,SKU-288751,CLEANING,0,200.0,1087,2.65
2017-08-04,1,SKU-288751,CLEANING,1,269.1,745,2.65
2017-08-05,1,SKU-288751,CLEANING,0,232.3,69,2.65
2017-08-06,1,SKU-288751,CLEANING,0,246.4,254,2.65
2017-08-07,1,SKU-288751,CLEANING,0,198.2,74,2.65
2017-08-08,1,SKU-288751,CLEANING,1,253.0,427,2.65
2017-08-09,1,SKU-288751,CLEANING,0,194.1,2385,2.65
2017-08-10,1,SKU-288751,CLEANING,1,266.5,1059,2.65
2017-08-11,1,SKU-288751,CLEANING,0,196.4,2220,2.65
2017-08-12,1,SKU-288751,CLEANING,1,323.8,1692,2.65
2017-08-13,1,SKU-288751,CLEANING,1,321.5,4190,2.65
2017-08-14,1,SKU-288751,CLEANING,1,256.8,2702,2.65
2017-08-15,1,SKU-288751,CLEANING,1,248.4,3139,2.65
2017-08-16,1,SKU-288751,CLEANING,0,197.8,893,2.65
2017-08-01,1,SKU-166234,CLEANING,1,69.7,352,3.83
2017-08-02,1,SKU-166234,CLEANING,1,68.5,467,3.83
2017-08-03,1,SKU-166234,CLEANING,0,47.8,70,3.83
2017-08-04,1,SKU-166234,CLEANING,0,50.1,157,3.83
2017-08-05,1,SKU-166234,CLEANING,1,87.4,147,3.83
2017-08-06,1,SKU-166234,CLEANING,1,89.1,1242,3.83
2017-08-07,1,SKU-166234,CLEANING,0,51.1,395,3.83
2017-08-08,1,SKU-166234,CLEANING,1,70.5,682,3.83
2017-08-09,1,SKU-166234,CLEANING,1,69.8,820,3.83
2017-08-10,1,SKU-166234,CLEANING,0,48.5,275,3.83
2017-08-11,1,SKU-166234,CLEANING,1,64.9,471,3.83
2017-08-12,1,SKU-166234,CLEANING,0,63.5,768,3.83
2017-08-13,1,SKU-166234,CLEANING,1,82.8,1053,3.83
2017-08-14,1,SKU-166234,CLEANING,0,49.1,489,3.83
2017-08-15,1,SKU-166234,CLEANING,0,49.3,489,3.83
2017-08-16,1,SKU-166234,CLEANING,0,49.0,303,3.83
2017-08-01,1,SKU-186188,CLEANING,0,25.7,51,21.89
2017-08-02,1,SKU-186188,CLEANING,0,27.4,227,21.89
2017-08-03,1,SKU-186188,CLEANING,1,35.6,149,21.89
2017-08-04,1,SKU-186188,CLEANING,1,35.1,473,21.89
2017-08-05,1,SKU-186188,CLEANING,0,35.3,30,21.89
2017-08-06,1,SKU-186188,CLEANING,1,45.7,635,21.89
2017-08-07,1,SKU-186188,CLEANING,0,26.9,365,21.89
2017-08-08,1,SKU-186188,CLEANING,0,27.1,267,21.89
2017-08-09,1,SKU-186188,CLEANING,0,27.1,225,21.89
2017-08-10,1,SKU-186188,CLEANING,1,34.4,142,21.89
2017-08-11,1,SKU-186188,CLEANING,1,37.5,244,21.89
2017-08-12,1,SKU-186188,CLEANING,0,33.0,95,21.89
2017-08-13,1,SKU-186188,CLEANING,0,33.3,276,21.89
2017-08-14,1,SKU-186188,CLEANING,0,28.0,386,21.89
2017-08-15,1,SKU-186188,CLEANING,0,26.8,123,21.89
2017-08-16,1,SKU-186188,CLEANING,1,36.7,91,21.89
2017-08-01,1,SKU-265421,DAIRY,0,44.0,567,42.41
2017-08-02,1,SKU-265421,DAIRY,0,45.3,354,42.41
2017-08-03,1,SKU-265421,DAIRY,0,43.3,473,42.41
2017-08-04,1,SKU-265421,DAIRY,0,45.8,247,42.41
2017-08-05,1,SKU-265421,DAIRY,1,73.7,857,42.41
2017-08-06,1,SKU-265421,DAIRY,0,52.7,36,42.41
2017-08-07,1,SKU-265421,DAIRY,0,41.5,53,42.41
2017-08-08,1,SKU-265421,DAIRY,0,43.8,462,42.41
2017-08-09,1,SKU-265421,DAIRY,1,59.4,606,42.41
2017-08-10,1,SKU-265421,DAIRY,1,58.2,204,42.41
2017-08-11,1,SKU-265421,DAIRY,0,42.6,171,42.41
2017-08-12,1,SKU-265421,DAIRY,0,57.2,608,42.41
2017-08-13,1,SKU-265421,DAIRY,0,53.9,26,42.41
2017-08-14,1,SKU-265421,DAIRY,0,43.6,509,42.41
2017-08-15,1,SKU-265421,DAIRY,0,45.0,610,42.41
2017-08-16,1,SKU-265421,DAIRY,0,44.9,374,42.41
2017-08-01,1,SKU-381342,DAIRY,0,31.9,102,34.35
2017-08-02,1,SKU-381342,DAIRY,0,29.8,152,34.35
2017-08-03,1,SKU-381342,DAIRY,0,30.9,194,34.35
2017-08-04,1,SKU-381342,DAIRY,1,41.6,304,34.35
2017-08-05,1,SKU-381342,DAIRY,1,52.8,463,34.35
2017-08-06,1,SKU-381342,DAIRY,1,55.7,123,34.35
2017-08-07,1,SKU-381342,DAIRY,1,42.2,159,34.35
2017-08-08,1,SKU-381342,DAIRY,0,32.8,231,34.35
2017-08-09,1,SKU-381342,DAIRY,0,31.7,114,34.35
2017-08-10,1,SKU-381342,DAIRY,0,30.1,62,34.35
2017-08-11,1,SKU-381342,DAIRY,0,30.1,273,34.35
2017-08-12,1,SKU-381342,DAIRY,0,38.9,489,34.35
2017-08-13,1,SKU-381342,DAIRY,0,40.2,105,34.35
2017-08-14,1,SKU-381342,DAIRY,0,29.8,78,34.35
2017-08-15,1,SKU-381342,DAIRY,0,30.3,46,34.35
2017-08-16,1,SKU-381342,DAIRY,0,31.1,97,34.35
2017-08-01,1,SKU-151745,DAIRY,0,55.0,375,15.86
2017-08-02,1,SKU-151745,DAIRY,0,57.5,134,15.86
2017-08-03,1,SKU-151745,DAIRY,0,54.5,663,15.86
2017-08-04,1,SKU-151745,DAIRY,0,57.9,799,15.86
2017-08-05,1,SKU-151745,DAIRY,0,75.6,257,15.86
2017-08-06,1,SKU-151745,DAIRY,1,98.2,993,15.86
2017-08-07,1,SKU-151745,DAIRY,0,55.4,111,15.86
2017-08-08,1,SKU-151745,DAIRY,0,59.4,625,15.86
2017-08-09,1,SKU-151745,DAIRY,0,59.5,301,15.86
2017-08-10,1,SKU-151745,DAIRY,0,55.1,571,15.86
2017-08-11,1,SKU-151745,DAIRY,0,57.8,681,15.86
2017-08-12,1,SKU-151745,DAIRY,0,72.7,245,15.86
2017-08-13,1,SKU-151745,DAIRY,0,72.3,365,15.86
2017-08-14,1,SKU-151745,DAIRY,0,57.3,472,15.86
2017-08-15,1,SKU-151745,DAIRY,1,77.9,643,15.86
2017-08-16,1,SKU-151745,DAIRY,0,56.7,274,15.86
2017-08-01,1,SKU-809913,DAIRY,0,179.4,2345,12.13
2017-08-02,1,SKU-809913,DAIRY,0,177.5,914,12.13
2017-08-03,1,SKU-809913,DAIRY,0,188.9,241,12.13
2017-08-04,1,SKU-809913,DAIRY,1,235.4,2777,12.13
2017-08-05,1,SKU-809913,DAIRY,0,219.4,2143,12.13
2017-08-06,1,SKU-809913,DAIRY,1,323.5,2612,12.13
2017-08-07,1,SKU-809913,DAIRY,1,234.2,3197,12.13
2017-08-08,1,SKU-809913,DAIRY,0,186.5,2145,12.13
2017-08-09,1,SKU-809913,DAIRY,1,247.2,1654,12.13
2017-08-10,1,SKU-809913,DAIRY,1,239.1,3240,12.13
2017-08-11,1,SKU-809913,DAIRY,1,238.9,2465,12.13
2017-08-12,1,SKU-809913,DAIRY,0,235.3,2531,12.13
2017-08-13,1,SKU-809913,DAIRY,0,230.6,3009,12.13
2017-08-14,1,SKU-809913,DAIRY,0,184.2,958,12.13
