date,store_nbr,item_nbr,family,onpromotion,unit_sales,current_stock,unit_cost
2017-08-01,1,SKU-802076,BEVERAGES,0,165.5,1682,4.73
2017-08-02,1,SKU-802076,BEVERAGES,1,207.9,2882,4.73
2017-08-03,1,SKU-802076,BEVERAGES,0,152.3,2126,4.73
2017-08-04,1,SKU-802076,BEVERAGES,0,162.8,410,4.73
2017-08-05,1,SKU-802076,BEVERAGES,0,210.4,949,4.73
2017-08-06,1,SKU-802076,BEVERAGES,0,195.9,1717,4.73
2017-08-07,1,SKU-802076,BEVERAGES,0,155.5,688,4.73
2017-08-08,1,SKU-802076,BEVERAGES,0,166.5,931,4.73
2017-08-09,1,SKU-802076,BEVERAGES,0,159.3,721,4.73
2017-08-10,1,SKU-802076,BEVERAGES,1,226.3,1393,4.73
2017-08-11,1,SKU-802076,BEVERAGES,1,217.5,487,4.73
2017-08-12,1,SKU-802076,BEVERAGES,0,202.5,1847,4.73
2017-08-13,1,SKU-802076,BEVERAGES,1,271.4,3425,4.73
2017-08-14,1,SKU-802076,BEVERAGES,1,215.9,1827,4.73
2017-08-15,1,SKU-802076,BEVERAGES,0,167.8,1571,4.73
2017-08-16,1,SKU-802076,BEVERAGES,0,157.3,1376,4.73
2017-08-01,1,SKU-877110,BEVERAGES,1,218.1,1092,40.39
2017-08-02,1,SKU-877110,BEVERAGES,0,173.6,1559,40.39
2017-08-03,1,SKU-877110,BEVERAGES,0,169.0,1624,40.39
2017-08-04,1,SKU-877110,BEVERAGES,1,217.5,2712,40.39
2017-08-05,1,SKU-877110,BEVERAGES,0,220.5,2496,40.39
2017-08-06,1,SKU-877110,BEVERAGES,0,205.5,2077,40.39
2017-08-07,1,SKU-877110,BEVERAGES,0,175.2,1783,40.39
2017-08-08,1,SKU-877110,BEVERAGES,1,223.9,999,40.39
2017-08-09,1,SKU-877110,BEVERAGES,0,161.3,1643,40.39
2017-08-10,1,SKU-877110,BEVERAGES,1,226.6,2428,40.39
2017-08-11,1,SKU-877110,BEVERAGES,0,166.3,2268,40.39
2017-08-12,1,SKU-877110,BEVERAGES,1,289.0,3780,40.39
2017-08-13,1,SKU-877110,BEVERAGES,0,209.4,789,40.39
2017-08-14,1,SKU-877110,BEVERAGES,1,221.0,1797,40.39
2017-08-15,1,SKU-877110,BEVERAGES,0,173.3,1216,40.39
2017-08-16,1,SKU-877110,BEVERAGES,0,163.7,1426,40.39
2017-08-01,1,SKU-937056,BEVERAGES,0,179.1,1464,33.62
2017-08-02,1,SKU-937056,BEVERAGES,0,171.9,2034,33.62
2017-08-03,1,SKU-937056,BEVERAGES,1,227.4,2267,33.62
2017-08-04,1,SKU-937056,BEVERAGES,0,164.5,1294,33.62
2017-08-05,1,SKU-937056,BEVERAGES,0,224.4,1075,33.62
2017-08-06,1,SKU-937056,BEVERAGES,0,217.5,58,33.62
2017-08-07,1,SKU-937056,BEVERAGES,0,169.5,1043,33.62
2017-08-08,1,SKU-937056,BEVERAGES,0,173.9,144,33.62
2017-08-09,1,SKU-937056,BEVERAGES,0,175.9,358,33.62
2017-08-10,1,SKU-937056,BEVERAGES,0,164.9,946,33.62
2017-08-11,1,SKU-937056,BEVERAGES,0,165.8,1320,33.62
2017-08-12,1,SKU-937056,BEVERAGES,1,281.1,1664,33.62
2017-08-13,1,SKU-937056,BEVERAGES,1,293.1,3311,33.62
2017-08-14,1,SKU-937056,BEVERAGES,0,180.5,979,33.62
2017-08-15,1,SKU-937056,BEVERAGES,0,179.0,1417,33.62
2017-08-16,1,SKU-937056,BEVERAGES,0,176.5,1436,33.62
2017-08-01,1,SKU-796343,BEVERAGES,1,240.1,1563,8.63
2017-08-02,1,SKU-796343,BEVERAGES,0,175.5,1824,8.63
2017-08-03,1,SKU-796343,BEVERAGES,0,184.4,417,8.63
2017-08-04,1,SKU-796343,BEVERAGES,0,174.7,1046,8.63
2017-08-05,1,SKU-796343,BEVERAGES,0,234.9,869,8.63
2017-08-06,1,SKU-796343,BEVERAGES,1,321.6,892,8.63
2017-08-07,1,SKU-796343,BEVERAGES,0,174.0,959,8.63
2017-08-08,1,SKU-796343,BEVERAGES,1,248.9,2180,8.63
2017-08-09,1,SKU-796343,BEVERAGES,0,179.3,267,8.63
2017-08-10,1,SKU-796343,BEVERAGES,1,245.1,2434,8.63
2017-08-11,1,SKU-796343,BEVERAGES,0,178.3,840,8.63
2017-08-12,1,SKU-796343,BEVERAGES,0,225.6,2539,8.63
2017-08-13,1,SKU-796343,BEVERAGES,1,310.0,1982,8.63
2017-08-14,1,SKU-796343,BEVERAGES,0,188.4,44,8.63
2017-08-15,1,SKU-796343,BEVERAGES,1,244.7,1177,8.63
2017-08-16,1,SKU-796343,BEVERAGES,1,233.3,1903,8.63
2017-08-01,1,SKU-548402,BEVERAGES,0,96.6,283,43.03
2017-08-02,1,SKU-548402,BEVERAGES,0,95.9,917,43.03
2017-08-03,1,SKU-548402,BEVERAGES,0,90.5,1016,43.03
2017-08-04,1,SKU-548402,BEVERAGES,0,94.2,426,43.03
2017-08-05,1,SKU-548402,BEVERAGES,0,122.7,432,43.03
2017-08-06,1,SKU-548402,BEVERAGES,0,121.0,412,43.03
2017-08-07,1,SKU-548402,BEVERAGES,0,93.7,636,43.03
2017-08-08,1,SKU-548402,BEVERAGES,0,91.3,753,43.03
2017-08-09,1,SKU-548402,BEVERAGES,0,94.0,101,43.03
2017-08-10,1,SKU-548402,BEVERAGES,0,96.8,737,43.03
2017-08-11,1,SKU-548402,BEVERAGES,1,125.7,1505,43.03
2017-08-12,1,SKU-548402,BEVERAGES,1,152.9,940,43.03
2017-08-13,1,SKU-548402,BEVERAGES,0,115.9,212,43.03
2017-08-14,1,SKU-548402,BEVERAGES,1,119.2,886,43.03
2017-08-15,1,SKU-548402,BEVERAGES,0,89.9,1141,43.03
2017-08-16,1,SKU-548402,BEVERAGES,1,124.7,723,43.03
2017-08-01,1,SKU-334745,PRODUCE,0,221.8,717,7.23
2017-08-02,1,SKU-334745,PRODUCE,1,276.0,3527,7.23
2017-08-03,1,SKU-334745,PRODUCE,0,217.6,769,7.23
2017-08-04,1,SKU-334745,PRODUCE,1,289.9,557,7.23
2017-08-05,1,SKU-334745,PRODUCE,0,268.4,2488,7.23
2017-08-06,1,SKU-334745,PRODUCE,1,362.4,1477,7.23
2017-08-07,1,SKU-334745,PRODUCE,0,216.1,1223,7.23
2017-08-08,1,SKU-334745,PRODUCE,0,207.7,1256,7.23
2017-08-09,1,SKU-334745,PRODUCE,1,283.7,2385,7.23
2017-08-10,1,SKU-334745,PRODUCE,1,296.7,1372,7.23
2017-08-11,1,SKU-334745,PRODUCE,0,222.4,57,7.23
2017-08-12,1,SKU-334745,PRODUCE,0,263.4,1439,7.23
2017-08-13,1,SKU-334745,PRODUCE,0,277.6,373,7.23
2017-08-14,1,SKU-334745,PRODUCE,0,215.8,1498,7.23
2017-08-15,1,SKU-334745,PRODUCE,1,286.2,3786,7.23
2017-08-16,1,SKU-334745,PRODUCE,0,216.0,2498,7.23
2017-08-01,1,SKU-484922,PRODUCE,0,241.3,2388,20.71
2017-08-02,1,SKU-484922,PRODUCE,0,227.5,2819,20.71
2017-08-03,1,SKU-484922,PRODUCE,0,226.7,861,20.71
