date,store_nbr,item_nbr,family,onpromotion,unit_sales,current_stock,unit_cost
2017-08-01,1,SKU-103159,GROCERY I,0,65.7,201,13.73
2017-08-02,1,SKU-103159,GROCERY I,0,64.9,700,13.73
2017-08-03,1,SKU-103159,GROCERY I,1,86.6,254,13.73
2017-08-04,1,SKU-103159,GROCERY I,0,66.0,762,13.73
2017-08-05,1,SKU-103159,GROCERY I,1,119.0,942,13.73
2017-08-06,1,SKU-103159,GROCERY I,0,85.8,116,13.73
2017-08-07,1,SKU-103159,GROCERY I,0,63.9,370,13.73
2017-08-08,1,SKU-103159,GROCERY I,0,64.9,562,13.73
2017-08-09,1,SKU-103159,GROCERY I,1,87.8,676,13.73
2017-08-10,1,SKU-103159,GROCERY I,0,70.1,293,13.73
2017-08-11,1,SKU-103159,GROCERY I,1,88.7,1002,13.73
2017-08-12,1,SKU-103159,GROCERY I,0,83.1,232,13.73
2017-08-13,1,SKU-103159,GROCERY I,0,87.7,788,13.73
2017-08-14,1,SKU-103159,GROCERY I,0,70.3,462,13.73
2017-08-15,1,SKU-103159,GROCERY I,1,87.9,1114,13.73
2017-08-16,1,SKU-103159,GROCERY I,0,67.5,405,13.73
2017-08-01,1,SKU-896714,GROCERY I,0,178.3,1148,41.41
2017-08-02,1,SKU-896714,GROCERY I,0,187.1,1154,41.41
2017-08-03,1,SKU-896714,GROCERY I,0,194.8,1486,41.41
2017-08-04,1,SKU-896714,GROCERY I,0,194.1,431,41.41
2017-08-05,1,SKU-896714,GROCERY I,0,241.7,889,41.41
2017-08-06,1,SKU-896714,GROCERY I,1,309.3,153,41.41
2017-08-07,1,SKU-896714,GROCERY I,0,180.0,1912,41.41
2017-08-08,1,SKU-896714,GROCERY I,0,193.5,2123,41.41
2017-08-09,1,SKU-896714,GROCERY I,0,191.2,1721,41.41
2017-08-10,1,SKU-896714,GROCERY I,0,191.8,1545,41.41
2017-08-11,1,SKU-896714,GROCERY I,0,188.2,792,41.41
2017-08-12,1,SKU-896714,GROCERY I,0,237.2,784,41.41
2017-08-13,1,SKU-896714,GROCERY I,0,222.8,1901,41.41
2017-08-14,1,SKU-896714,GROCERY I,0,190.3,1005,41.41
2017-08-15,1,SKU-896714,GROCERY I,0,183.9,1678,41.41
2017-08-16,1,SKU-896714,GROCERY I,0,194.2,2545,41.41
2017-08-01,1,SKU-647678,GROCERY I,0,116.8,1210,18.64
2017-08-02,1,SKU-647678,GROCERY I,0,121.5,1657,18.64
2017-08-03,1,SKU-647678,GROCERY I,0,123.6,685,18.64
2017-08-04,1,SKU-647678,GROCERY I,1,170.1,582,18.64
2017-08-05,1,SKU-647678,GROCERY I,0,147.1,1983,18.64
2017-08-06,1,SKU-647678,GROCERY I,0,158.9,715,18.64
2017-08-07,1,SKU-647678,GROCERY I,0,127.7,1568,18.64
2017-08-08,1,SKU-647678,GROCERY I,0,122.4,603,18.64
2017-08-09,1,SKU-647678,GROCERY I,0,119.8,570,18.64
2017-08-10,1,SKU-647678,GROCERY I,0,118.0,892,18.64
2017-08-11,1,SKU-647678,GROCERY I,0,119.2,1235,18.64
2017-08-12,1,SKU-647678,GROCERY I,0,152.0,873,18.64
2017-08-13,1,SKU-647678,GROCERY I,0,156.4,815,18.64
2017-08-14,1,SKU-647678,GROCERY I,0,126.5,1737,18.64
2017-08-15,1,SKU-647678,GROCERY I,0,122.4,592,18.64
2017-08-16,1,SKU-647678,GROCERY I,0,119.8,1075,18.64
2017-08-01,1,SKU-281172,GROCERY I,0,182.8,94,31.91
2017-08-02,1,SKU-281172,GROCERY I,0,176.4,198,31.91
2017-08-03,1,SKU-281172,GROCERY I,1,236.3,909,31.91
2017-08-04,1,SKU-281172,GROCERY I,0,180.8,2112,31.91
2017-08-05,1,SKU-281172,GROCERY I,0,224.9,724,31.91
2017-08-06,1,SKU-281172,GROCERY I,0,212.6,1459,31.91
2017-08-07,1,SKU-281172,GROCERY I,0,184.3,990,31.91
2017-08-08,1,SKU-281172,GROCERY I,1,241.2,3131,31.91
2017-08-09,1,SKU-281172,GROCERY I,0,173.7,2158,31.91
2017-08-10,1,SKU-281172,GROCERY I,0,170.5,205,31.91
2017-08-11,1,SKU-281172,GROCERY I,1,227.1,2740,31.91
2017-08-12,1,SKU-281172,GROCERY I,0,212.4,1200,31.91
2017-08-13,1,SKU-281172,GROCERY I,0,226.2,2154,31.91
2017-08-14,1,SKU-281172,GROCERY I,0,168.8,1554,31.91
2017-08-15,1,SKU-281172,GROCERY I,1,244.1,2837,31.91
2017-08-16,1,SKU-281172,GROCERY I,0,183.8,835,31.91
2017-08-01,1,SKU-226718,GROCERY I,0,237.5,844,42.47
2017-08-02,1,SKU-226718,GROCERY I,0,253.8,540,42.47
2017-08-03,1,SKU-226718,GROCERY I,1,322.6,3653,42.47
2017-08-04,1,SKU-226718,GROCERY I,1,327.1,1678,42.47
2017-08-05,1,SKU-226718,GROCERY I,1,417.5,4003,42.47
2017-08-06,1,SKU-226718,GROCERY I,0,297.6,3521,42.47
2017-08-07,1,SKU-226718,GROCERY I,0,254.6,900,42.47
2017-08-08,1,SKU-226718,GROCERY I,1,322.4,1441,42.47
2017-08-09,1,SKU-226718,GROCERY I,0,250.1,1954,42.47
2017-08-10,1,SKU-226718,GROCERY I,1,323.2,3134,42.47
2017-08-11,1,SKU-226718,GROCERY I,1,318.0,1789,42.47
2017-08-12,1,SKU-226718,GROCERY I,0,303.9,1377,42.47
2017-08-13,1,SKU-226718,GROCERY I,0,299.6,2978,42.47
2017-08-14,1,SKU-226718,GROCERY I,1,331.7,2843,42.47
2017-08-15,1,SKU-226718,GROCERY I,0,253.0,1018,42.47
2017-08-16,1,SKU-226718,GROCERY I,0,255.8,2136,42.47
2017-08-01,1,SKU-529960,GROCERY I,0,251.5,3370,18.54
2017-08-02,1,SKU-529960,GROCERY I,1,337.0,3285,18.54
2017-08-03,1,SKU-529960,GROCERY I,0,255.2,2964,18.54
2017-08-04,1,SKU-529960,GROCERY I,0,246.0,3304,18.54
2017-08-05,1,SKU-529960,GROCERY I,1,406.1,1153,18.54
2017-08-06,1,SKU-529960,GROCERY I,1,426.7,3426,18.54
