date,store_nbr,item_nbr,family,onpromotion,unit_sales,current_stock,unit_cost
2017-08-01,44,SKU-900629,GROCERY I,0,46.8,629,4.48
2017-08-02,44,SKU-900629,GROCERY I,0,43.6,371,4.48
2017-08-03,44,SKU-900629,GROCERY I,0,45.5,316,4.48
2017-08-04,44,SKU-900629,GROCERY I,0,45.8,279,4.48
2017-08-05,44,SKU-900629,GROCERY I,1,79.3,213,4.48
2017-08-06,44,SKU-900629,GROCERY I,0,56.4,149,4.48
2017-08-07,44,SKU-900629,GROCERY I,0,48.1,442,4.48
2017-08-08,44,SKU-900629,GROCERY I,0,45.4,205,4.48
2017-08-09,44,SKU-900629,GROCERY I,1,64.8,455,4.48
2017-08-10,44,SKU-900629,GROCERY I,0,47.1,96,4.48
2017-08-11,44,SKU-900629,GROCERY I,1,63.8,120,4.48
2017-08-12,44,SKU-900629,GROCERY I,1,81.9,1074,4.48
2017-08-13,44,SKU-900629,GROCERY I,0,56.4,463,4.48
2017-08-14,44,SKU-900629,GROCERY I,0,44.5,269,4.48
2017-08-15,44,SKU-900629,GROCERY I,0,43.9,211,4.48
2017-08-16,44,SKU-900629,GROCERY I,0,47.0,425,4.48
2017-08-01,44,SKU-839316,GROCERY I,0,163.1,1864,17.42
2017-08-02,44,SKU-839316,GROCERY I,0,153.8,1569,17.42
2017-08-03,44,SKU-839316,GROCERY I,0,160.3,1488,17.42
2017-08-04,44,SKU-839316,GROCERY I,1,213.0,740,17.42
2017-08-05,44,SKU-839316,GROCERY I,0,209.0,1039,17.42
2017-08-06,44,SKU-839316,GROCERY I,1,281.9,1456,17.42
2017-08-07,44,SKU-839316,GROCERY I,0,163.3,681,17.42
2017-08-08,44,SKU-839316,GROCERY I,1,217.2,896,17.42
2017-08-09,44,SKU-839316,GROCERY I,0,156.0,1230,17.42
2017-08-10,44,SKU-839316,GROCERY I,0,163.6,1218,17.42
2017-08-11,44,SKU-839316,GROCERY I,0,164.8,112,17.42
2017-08-12,44,SKU-839316,GROCERY I,0,203.3,1314,17.42
2017-08-13,44,SKU-839316,GROCERY I,1,266.0,2574,17.42
2017-08-14,44,SKU-839316,GROCERY I,0,162.0,1731,17.42
2017-08-15,44,SKU-839316,GROCERY I,0,166.1,172,17.42
2017-08-16,44,SKU-839316,GROCERY I,0,165.8,455,17.42
2017-08-01,44,SKU-803058,GROCERY I,0,147.0,838,31.15
2017-08-02,44,SKU-803058,GROCERY I,0,159.0,2160,31.15
2017-08-03,44,SKU-803058,GROCERY I,1,201.3,2717,31.15
2017-08-04,44,SKU-803058,GROCERY I,0,150.3,1479,31.15
2017-08-05,44,SKU-803058,GROCERY I,0,185.1,2151,31.15
2017-08-06,44,SKU-803058,GROCERY I,0,189.3,1331,31.15
2017-08-07,44,SKU-803058,GROCERY I,1,207.8,1164,31.15
2017-08-08,44,SKU-803058,GROCERY I,0,148.8,2038,31.15
2017-08-09,44,SKU-803058,GROCERY I,0,151.5,1062,31.15
2017-08-10,44,SKU-803058,GROCERY I,1,207.2,2015,31.15
